user_id,song_id,rating
lfm_u_2,lfm_a_51,3.734
lfm_u_2,lfm_a_52,3.666
lfm_u_2,lfm_a_53,3.655
lfm_u_2,lfm_a_54,3.617
lfm_u_2,lfm_a_55,3.563
lfm_u_2,lfm_a_56,3.415
lfm_u_2,lfm_a_57,3.402
lfm_u_2,lfm_a_58,3.303
lfm_u_2,lfm_a_59,3.278
lfm_u_2,lfm_a_60,3.261
lfm_u_2,lfm_a_61,3.239
lfm_u_2,lfm_a_62,3.225
lfm_u_2,lfm_a_63,3.22
lfm_u_2,lfm_a_64,3.21
lfm_u_2,lfm_a_65,3.203
lfm_u_2,lfm_a_66,3.173
lfm_u_2,lfm_a_67,3.172
lfm_u_2,lfm_a_68,3.124
lfm_u_2,lfm_a_69,3.096
lfm_u_2,lfm_a_70,3.091
lfm_u_2,lfm_a_71,3.086
lfm_u_2,lfm_a_72,3.081
lfm_u_2,lfm_a_73,3.076
lfm_u_2,lfm_a_74,3.07
lfm_u_2,lfm_a_75,3.046
lfm_u_2,lfm_a_76,3.044
lfm_u_2,lfm_a_77,2.998
lfm_u_2,lfm_a_78,2.998
lfm_u_2,lfm_a_79,2.974
lfm_u_2,lfm_a_80,2.97
lfm_u_2,lfm_a_81,2.965
lfm_u_2,lfm_a_82,2.949
lfm_u_2,lfm_a_83,2.933
lfm_u_2,lfm_a_84,2.921
lfm_u_2,lfm_a_85,2.897
lfm_u_2,lfm_a_86,2.887
lfm_u_2,lfm_a_87,2.878
lfm_u_2,lfm_a_88,2.877
lfm_u_2,lfm_a_89,2.868
lfm_u_2,lfm_a_90,2.855
lfm_u_2,lfm_a_91,2.846
lfm_u_2,lfm_a_92,2.839
lfm_u_2,lfm_a_93,2.838
lfm_u_2,lfm_a_94,2.828
lfm_u_2,lfm_a_95,2.825
lfm_u_2,lfm_a_96,2.819
lfm_u_2,lfm_a_97,2.818
lfm_u_2,lfm_a_98,2.816
lfm_u_2,lfm_a_99,2.816
lfm_u_2,lfm_a_100,2.811
lfm_u_3,lfm_a_101,3.713
lfm_u_3,lfm_a_102,2.543
lfm_u_3,lfm_a_103,2.428
lfm_u_3,lfm_a_104,2.375
lfm_u_3,lfm_a_105,2.349
lfm_u_3,lfm_a_106,2.299
lfm_u_3,lfm_a_107,2.191
lfm_u_3,lfm_a_108,2.14
lfm_u_3,lfm_a_109,2.104
lfm_u_3,lfm_a_110,2.104
lfm_u_3,lfm_a_111,2.099
lfm_u_3,lfm_a_112,2.062
lfm_u_3,lfm_a_113,2.05
lfm_u_3,lfm_a_114,2.006
lfm_u_3,lfm_a_115,1.996
lfm_u_3,lfm_a_116,1.974
lfm_u_3,lfm_a_117,1.967
lfm_u_3,lfm_a_118,1.943
lfm_u_3,lfm_a_119,1.943
lfm_u_3,lfm_a_120,1.893
lfm_u_3,lfm_a_121,1.847
lfm_u_3,lfm_a_122,1.836
lfm_u_3,lfm_a_123,1.822
lfm_u_3,lfm_a_124,1.803
lfm_u_3,lfm_a_125,1.799
lfm_u_3,lfm_a_126,1.783
lfm_u_3,lfm_a_127,1.761
lfm_u_3,lfm_a_128,1.761
lfm_u_3,lfm_a_129,1.748
lfm_u_3,lfm_a_130,1.744
lfm_u_3,lfm_a_131,1.739
lfm_u_3,lfm_a_132,1.734
lfm_u_3,lfm_a_133,1.734
lfm_u_3,lfm_a_134,1.705
lfm_u_3,lfm_a_135,1.705
lfm_u_3,lfm_a_136,1.7
lfm_u_3,lfm_a_137,1.695
lfm_u_3,lfm_a_138,1.679
lfm_u_3,lfm_a_139,1.679
lfm_u_3,lfm_a_140,1.674
lfm_u_3,lfm_a_141,1.669
lfm_u_3,lfm_a_142,1.669
lfm_u_3,lfm_a_143,1.669
lfm_u_3,lfm_a_144,1.663
lfm_u_3,lfm_a_145,1.657
lfm_u_3,lfm_a_146,1.652
lfm_u_3,lfm_a_147,1.652
lfm_u_3,lfm_a_148,1.646
lfm_u_3,lfm_a_149,1.646
lfm_u_3,lfm_a_150,1.64
lfm_u_4,lfm_a_51,2.127
lfm_u_4,lfm_a_53,2.557
lfm_u_4,lfm_a_64,2.365
lfm_u_4,lfm_a_65,2.235
lfm_u_4,lfm_a_70,2.335
lfm_u_4,lfm_a_72,3.333
lfm_u_4,lfm_a_77,2.342
lfm_u_4,lfm_a_151,2.936
lfm_u_4,lfm_a_152,2.778
lfm_u_4,lfm_a_153,2.664
lfm_u_4,lfm_a_154,2.63
lfm_u_4,lfm_a_155,2.606
lfm_u_4,lfm_a_156,2.588
lfm_u_4,lfm_a_157,2.582
lfm_u_4,lfm_a_158,2.581
lfm_u_4,lfm_a_159,2.578
lfm_u_4,lfm_a_160,2.572
lfm_u_4,lfm_a_161,2.525
lfm_u_4,lfm_a_162,2.452
lfm_u_4,lfm_a_163,2.405
lfm_u_4,lfm_a_164,2.397
lfm_u_4,lfm_a_165,2.389
lfm_u_4,lfm_a_166,2.388
lfm_u_4,lfm_a_167,2.353
lfm_u_4,lfm_a_168,2.35
lfm_u_4,lfm_a_169,2.33
lfm_u_4,lfm_a_170,2.312
lfm_u_4,lfm_a_171,2.304
lfm_u_4,lfm_a_172,2.246
lfm_u_4,lfm_a_173,2.223
lfm_u_4,lfm_a_174,2.217
lfm_u_4,lfm_a_175,2.214
lfm_u_4,lfm_a_176,2.213
lfm_u_4,lfm_a_177,2.213
lfm_u_4,lfm_a_178,2.206
lfm_u_4,lfm_a_179,2.184
lfm_u_4,lfm_a_180,2.172
lfm_u_4,lfm_a_181,2.171
lfm_u_4,lfm_a_182,2.169
lfm_u_4,lfm_a_183,2.168
lfm_u_4,lfm_a_184,2.158
lfm_u_4,lfm_a_185,2.147
lfm_u_4,lfm_a_186,2.14
lfm_u_4,lfm_a_187,2.118
lfm_u_4,lfm_a_188,2.115
lfm_u_4,lfm_a_189,2.095
lfm_u_4,lfm_a_190,2.091
lfm_u_4,lfm_a_191,2.08
lfm_u_4,lfm_a_192,2.07
lfm_u_4,lfm_a_193,2.062
lfm_u_5,lfm_a_53,2.037
lfm_u_5,lfm_a_154,2.656
lfm_u_5,lfm_a_173,2.149
lfm_u_5,lfm_a_182,2.117
lfm_u_5,lfm_a_190,2.63
lfm_u_5,lfm_a_194,2.606
lfm_u_5,lfm_a_195,2.55
lfm_u_5,lfm_a_196,2.517
lfm_u_5,lfm_a_197,2.394
lfm_u_5,lfm_a_198,2.393
lfm_u_5,lfm_a_199,2.32
lfm_u_5,lfm_a_200,2.279
lfm_u_5,lfm_a_201,2.239
lfm_u_5,lfm_a_202,2.231
lfm_u_5,lfm_a_203,2.217
lfm_u_5,lfm_a_204,2.211
lfm_u_5,lfm_a_205,2.2
lfm_u_5,lfm_a_206,2.186
lfm_u_5,lfm_a_207,2.177
lfm_u_5,lfm_a_208,2.171
lfm_u_5,lfm_a_209,2.166
lfm_u_5,lfm_a_210,2.129
lfm_u_5,lfm_a_211,2.117
lfm_u_5,lfm_a_212,2.095
lfm_u_5,lfm_a_213,2.093
